"Date","Open","High","Low","Close","Volume","Market.Cap","coin","Delta"
"2018-01-10",0.185472,0.18619,0.14037,0.154132,"47,141,300","-","MDS",-0.168974292615597
"2018-01-09",0.183374,0.19252,0.169437,0.187834,"23,141,300","-","MDS",0.0243218776925845
"2018-01-08",0.180668,0.201381,0.133172,0.182432,"27,703,800","-","MDS",0.00976376558106591
"2018-01-07",0.15973,0.190662,0.146623,0.179952,"886,796","-","MDS",0.126601139422776
"2018-01-06",0.140636,0.167331,0.123753,0.159766,"773,055","-","MDS",0.136024915384396
"2018-01-05",0.15348,0.156185,0.136624,0.141352,"1,186,700","-","MDS",-0.0790200677612718
"2018-01-04",0.153549,0.168891,0.122812,0.156569,"2,884,210","-","MDS",0.0196679887202132
"2018-01-03",0.087771,0.16308,0.086103,0.154702,"3,763,740","-","MDS",0.762563944810928
"2018-01-02",0.051076,0.092656,0.050982,0.087222,"4,646,420","-","MDS",0.70769050043073
"2018-01-01",0.046021,0.053031,0.044368,0.050622,"504,638","-","MDS",0.0999760978683645
"2017-12-31",0.043259,0.050903,0.040761,0.046175,"436,356","-","MDS",0.0674079382325066
"2017-12-30",0.041988,0.045513,0.038256,0.043486,"419,306","-","MDS",0.0356768600552539
"2017-12-29",0.042883,0.047356,0.040951,0.043101,"452,154","-","MDS",0.0050835995615979
"2017-12-28",0.046476,0.04696,0.03976,0.042737,"248,827","-","MDS",-0.0804501247955935
"2017-12-27",0.050028,0.05043,0.045509,0.046431,"353,712","-","MDS",-0.0718997361477573
"2017-12-26",0.051027,0.054586,0.047998,0.050049,"313,959","-","MDS",-0.0191663237109765
"2017-12-25",0.043216,0.053134,0.042992,0.05102,"498,943","-","MDS",0.180581266197705
"2017-12-24",0.050822,0.050822,0.040252,0.043081,"290,240","-","MDS",-0.152315926173704
"2017-12-23",0.043831,0.053657,0.043831,0.050812,"380,211","-","MDS",0.159270835709886
"2017-12-22",0.057627,0.05997,0.037742,0.043608,"785,856","-","MDS",-0.243271383205789
"2017-12-21",0.065587,0.068206,0.054475,0.057729,"787,370","-","MDS",-0.119810328266272
"2017-12-20",0.075634,0.075634,0.05572,0.065546,"807,707","-","MDS",-0.133379168099003
"2017-12-19",0.079502,0.084636,0.064495,0.07568,"2,050,350","-","MDS",-0.0480742622827099
"2017-12-18",0.048723,0.081865,0.044483,0.079975,"3,728,520","-","MDS",0.641421915727685
"2017-12-17",0.044744,0.051915,0.043566,0.048753,"991,982","-","MDS",0.0895986053996066
"2017-12-16",0.043285,0.048091,0.03828,0.045822,"935,703","-","MDS",0.0586115282430404
"2017-12-15",0.036985,0.043439,0.032716,0.042967,"919,889","-","MDS",0.161741246451264
"2017-12-14",0.030317,0.037667,0.028263,0.036282,"1,495,810","-","MDS",0.19675429626942
"2017-12-13",0.031256,0.034958,0.028858,0.030325,"458,726","-","MDS",-0.0297862810340414
