"Date","Open","High","Low","Close","Volume","Market.Cap","coin","Delta"
"2018-01-10",0.000142,0.000142,0.000106,0.000115,"98,935","-","EXRN",-0.190140845070423
"2018-01-09",0.000147,0.000162,0.000134,0.000136,"79,302","-","EXRN",-0.0748299319727891
"2018-01-08",0.000146,0.000178,0.000123,0.000147,"108,924","-","EXRN",0.00684931506849313
"2018-01-07",9.6e-05,0.000191,9.5e-05,0.000145,"219,788","-","EXRN",0.510416666666667
"2018-01-06",5.1e-05,0.000102,5e-05,9.6e-05,"88,081","-","EXRN",0.882352941176471
"2018-01-05",5.7e-05,6e-05,4.5e-05,5.2e-05,"50,165","-","EXRN",-0.0877192982456141
"2018-01-04",4e-05,5.9e-05,3.9e-05,5.6e-05,"45,320","-","EXRN",0.4
"2018-01-03",4e-05,4.7e-05,3e-05,4e-05,"29,826","-","EXRN",0
"2018-01-02",2.6e-05,3.4e-05,2e-05,3.4e-05,"33,615","-","EXRN",0.307692307692308
"2018-01-01",4.4e-05,4.7e-05,2e-05,2.6e-05,"61,985","-","EXRN",-0.409090909090909
"2017-12-31",9e-06,5.3e-05,8e-06,4.9e-05,"43,342","-","EXRN",4.44444444444444
"2017-12-30",9e-06,1e-05,6e-06,9e-06,"11,060","-","EXRN",0
"2017-12-29",9e-06,1.1e-05,7e-06,1e-05,"9,495","-","EXRN",0.111111111111111
"2017-12-28",1.2e-05,1.2e-05,4e-06,9e-06,"7,470","-","EXRN",-0.25
"2017-12-27",8e-06,1.4e-05,7e-06,1.2e-05,"12,301","-","EXRN",0.5
"2017-12-26",4e-06,8e-06,3e-06,8e-06,"6,793","-","EXRN",1
"2017-12-25",3e-06,4e-06,3e-06,4e-06,"1,205","-","EXRN",0.333333333333333
"2017-12-24",4e-06,4e-06,2e-06,3e-06,"1,245","-","EXRN",-0.25
"2017-12-23",2e-06,4e-06,2e-06,3e-06,"1,764","-","EXRN",0.5
"2017-12-22",3e-06,3e-06,2e-06,2e-06,"495","-","EXRN",-0.333333333333333
"2017-12-21",3e-06,3e-06,3e-06,3e-06,"196","-","EXRN",0
"2017-12-20",4e-06,4e-06,3e-06,3e-06,"875","-","EXRN",-0.25
"2017-12-19",2e-06,4e-06,2e-06,4e-06,"1,668","-","EXRN",1
"2017-12-18",3e-06,4e-06,2e-06,2e-06,"2,584","-","EXRN",-0.333333333333333
"2017-12-17",3e-06,4e-06,2e-06,3e-06,"3,000","-","EXRN",0
"2017-12-16",3e-06,4e-06,2e-06,2e-06,"847","-","EXRN",-0.333333333333333
"2017-12-15",1e-06,5e-06,1e-06,3e-06,"2,038","-","EXRN",2
"2017-12-14",1e-06,2e-06,1e-06,1e-06,"98","-","EXRN",0
"2017-12-13",2e-06,2e-06,1e-06,1e-06,"671","-","EXRN",-0.5
"2017-12-12",2e-06,2e-06,1e-06,2e-06,"553","-","EXRN",0
"2017-12-11",8.8e-07,2e-06,8.7e-07,2e-06,"463","-","EXRN",1.27272727272727
"2017-12-10",9.5e-07,9.5e-07,4.4e-07,8.7e-07,"41","-","EXRN",-0.0842105263157894
"2017-12-09",1e-06,1e-06,9.2e-07,9.5e-07,"64","-","EXRN",-0.0499999999999999
"2017-12-08",1e-06,1e-06,1e-06,1e-06,"22","-","EXRN",0
"2017-12-07",1e-06,1e-06,1e-06,1e-06,"71","-","EXRN",0
"2017-12-06",1e-06,1e-06,1e-06,1e-06,"25","-","EXRN",0
"2017-12-05",1e-06,1e-06,1e-06,1e-06,"31","-","EXRN",0
"2017-12-04",4.6e-07,1e-06,4.6e-07,1e-06,"348","-","EXRN",1.17391304347826
"2017-12-03",9.2e-07,9.2e-07,4.5e-07,4.6e-07,"43","-","EXRN",-0.5
"2017-12-02",4.6e-07,9.3e-07,4.6e-07,9.2e-07,"211","-","EXRN",1
"2017-12-01",8.7e-07,9.3e-07,4.6e-07,4.6e-07,"95","-","EXRN",-0.471264367816092
"2017-11-30",8.6e-07,9.2e-07,4.3e-07,8.7e-07,"398","-","EXRN",0.0116279069767442
"2017-11-29",9.3e-07,1e-06,4.6e-07,8.5e-07,"334","-","EXRN",-0.0860215053763441
"2017-11-28",1e-06,1e-06,4.6e-07,9.3e-07,"62","-","EXRN",-0.07
"2017-11-27",9.4e-07,1e-06,4.7e-07,1e-06,"392","-","EXRN",0.0638297872340425
"2017-11-26",9.3e-07,1e-06,9e-07,9.4e-07,"528","-","EXRN",0.010752688172043
"2017-11-25",9.4e-07,2e-06,4.6e-07,9.3e-07,"1,148","-","EXRN",-0.0106382978723404
"2017-11-24",4.1e-07,9.5e-07,4e-07,9.4e-07,"139","-","EXRN",1.29268292682927
"2017-11-23",3.8e-07,8.5e-07,3.8e-07,4.1e-07,"36","-","EXRN",0.0789473684210526
"2017-11-22",7.2e-07,7.6e-07,3.7e-07,3.8e-07,"58","-","EXRN",-0.472222222222222
"2017-11-21",7.4e-07,7.5e-07,3.6e-07,7.2e-07,"114","-","EXRN",-0.0270270270270271
"2017-11-20",1e-06,1e-06,7.1e-07,7.4e-07,"525","-","EXRN",-0.26
"2017-11-19",6.9e-07,1e-06,6.9e-07,1e-06,"250","-","EXRN",0.449275362318841
"2017-11-18",6.6e-07,1e-06,6.5e-07,6.9e-07,"179","-","EXRN",0.0454545454545453
"2017-11-17",6.6e-07,1e-06,6.5e-07,6.6e-07,"150","-","EXRN",0
"2017-11-16",6.6e-07,1e-06,6.4e-07,6.6e-07,"203","-","EXRN",0
"2017-11-15",6.7e-07,1e-06,6.5e-07,6.6e-07,"276","-","EXRN",-0.0149253731343284
"2017-11-14",6.3e-07,9.9e-07,6.3e-07,6.7e-07,"105","-","EXRN",0.0634920634920636
"2017-11-13",6.1e-07,9.6e-07,6.1e-07,6.3e-07,"111","-","EXRN",0.0327868852459017
"2017-11-12",6.3e-07,9.4e-07,6e-07,6.1e-07,"69","-","EXRN",-0.0317460317460318
"2017-11-11",8.9e-07,9.2e-07,6e-07,6.3e-07,"310","-","EXRN",-0.292134831460674
"2017-11-10",6.4e-07,9.6e-07,5.8e-07,8.9e-07,"442","-","EXRN",0.390625
"2017-11-09",9.2e-07,1e-06,6.4e-07,6.4e-07,"873","-","EXRN",-0.304347826086956
"2017-11-08",8.8e-07,1e-06,8.7e-07,9.3e-07,"494","-","EXRN",0.0568181818181818
"2017-11-07",8.9e-07,1e-06,8.7e-07,8.8e-07,"338","-","EXRN",-0.0112359550561797
"2017-11-06",1e-06,1e-06,8.9e-07,8.9e-07,"310","-","EXRN",-0.11
"2017-11-05",9e-07,1e-06,8.9e-07,1e-06,"875","-","EXRN",0.111111111111111
"2017-11-04",1e-06,2e-06,8.9e-07,9e-07,"790","-","EXRN",-0.1
"2017-11-03",8.5e-07,1e-06,8.5e-07,1e-06,"416","-","EXRN",0.176470588235294
