"Date","Open","High","Low","Close","Volume","Market.Cap","coin","Delta"
"2018-01-10",9.13,9.51,7.73,9.51,"11,669,700","688,569,000","ETHOS",0.0416210295728367
"2018-01-09",9.63,10.17,8.92,9.15,"9,884,330","725,747,000","ETHOS",-0.0498442367601247
"2018-01-08",11.04,11.04,8.52,9.7,"13,314,400","832,265,000","ETHOS",-0.121376811594203
"2018-01-07",8.99,11.58,8.89,11.02,"21,982,600","677,654,000","ETHOS",0.225806451612903
"2018-01-06",9.21,9.98,8.53,8.96,"14,628,800","694,690,000","ETHOS",-0.0271444082519001
"2018-01-05",6.55,12.54,6.16,9.39,"39,375,000","494,160,000","ETHOS",0.433587786259542
"2018-01-04",6.32,6.72,5.82,6.64,"12,205,700","476,372,000","ETHOS",0.050632911392405
"2018-01-03",4.58,6.64,4.28,6.29,"11,899,200","345,131,000","ETHOS",0.373362445414847
"2018-01-02",3.9,4.71,3.71,4.57,"19,243,800","294,363,000","ETHOS",0.171794871794872
"2018-01-01",2.92,3.93,2.87,3.92,"14,587,400","220,265,000","ETHOS",0.342465753424658
"2017-12-31",2.44,3.05,2.42,2.91,"8,940,680","184,084,000","ETHOS",0.192622950819672
"2017-12-30",2.6,2.61,2.22,2.47,"6,907,740","196,198,000","ETHOS",-0.05
"2017-12-29",2.55,2.75,2.45,2.61,"7,013,680","192,007,000","ETHOS",0.0235294117647059
"2017-12-28",2.48,2.61,2.22,2.52,"6,915,040","187,090,000","ETHOS",0.0161290322580645
"2017-12-27",2.57,2.8,2.3,2.5,"7,375,560","194,092,000","ETHOS",-0.0272373540856031
"2017-12-26",2.53,2.82,2.19,2.57,"8,516,190","190,506,000","ETHOS",0.0158102766798419
"2017-12-25",2.88,2.93,2.53,2.56,"7,127,560","216,894,000","ETHOS",-0.111111111111111
"2017-12-24",3.05,3.05,2.55,2.86,"7,709,580","229,673,000","ETHOS",-0.0622950819672131
