"Date","Open","High","Low","Close","Volume","Market.Cap","coin","Delta"
"2018-01-10",6.26,6.41,5.54,6.31,"17,960","8,780,700","DGPT",0.00798722044728432
"2018-01-09",7.31,7.44,5.54,6.25,"46,298","10,254,300","DGPT",-0.14500683994528
"2018-01-08",4.9,9.01,4.88,7.33,"114,798","6,869,750","DGPT",0.495918367346939
"2018-01-07",3.83,4.92,3.62,4.7,"28,532","5,377,420","DGPT",0.227154046997389
"2018-01-06",4.33,4.33,3.21,3.84,"15,336","6,078,600","DGPT",-0.113163972286374
"2018-01-05",3.86,4.81,3.58,4.33,"28,938","5,420,900","DGPT",0.121761658031088
"2018-01-04",3.97,4.89,3.5,3.81,"54,453","5,575,380","DGPT",-0.0403022670025189
"2018-01-03",2.55,4.02,2.51,3.95,"33,772","3,578,610","DGPT",0.549019607843137
"2018-01-02",1.69,2.67,1.48,2.56,"28,060","2,366,430","DGPT",0.514792899408284
"2018-01-01",1.58,1.91,1.43,1.69,"12,285","2,221,570","DGPT",0.0696202531645569
"2017-12-31",1.73,1.86,1.42,1.59,"9,113","2,429,220","DGPT",-0.0809248554913294
"2017-12-30",2.17,2.17,1.61,1.75,"5,704","3,039,500","DGPT",-0.193548387096774
"2017-12-29",1.84,2.22,1.69,2.17,"2,207","2,577,930","DGPT",0.179347826086956
"2017-12-28",1.68,2.11,1.39,1.82,"10,699","2,361,890","DGPT",0.0833333333333334
"2017-12-27",2.25,2.25,1.57,1.69,"7,013","3,153,890","DGPT",-0.248888888888889
"2017-12-26",1.53,2.26,1.53,2.22,"9,220","2,151,280","DGPT",0.450980392156863
"2017-12-25",2.13,2.34,1.65,1.68,"8,823","2,993,410","DGPT",-0.211267605633803
"2017-12-24",1.96,3.23,1.43,2.1,"239,021","2,742,690","DGPT",0.0714285714285715
"2017-12-23",1.81,20.52,1.58,1.97,"144,415","2,544,400","DGPT",0.0883977900552486
"2017-12-22",1.43,1.98,1.03,1.8,"3,163","2,003,760","DGPT",0.258741258741259
"2017-12-21",1.29,1.42,1.25,1.42,"2,582","1,815,450","DGPT",0.10077519379845
"2017-12-20",1.41,1.75,1.25,1.29,"1,377","1,975,240","DGPT",-0.0851063829787233
"2017-12-19",1.5,1.87,1.35,1.41,"1,835","2,101,920","DGPT",-0.0600000000000001
"2017-12-18",1.37,1.72,1.13,1.5,"5,903","1,927,880","DGPT",0.094890510948905
"2017-12-17",1.47,1.76,1.03,1.38,"15,954","2,068,100","DGPT",-0.0612244897959184
"2017-12-16",1.77,1.84,1.21,1.47,"2,170","2,484,570","DGPT",-0.169491525423729
"2017-12-15",1.58,1.78,1.1,1.77,"11,707","2,210,940","DGPT",0.120253164556962
"2017-12-14",1.23,1.94,0.94082,1.57,"3,754","1,722,400","DGPT",0.276422764227642
"2017-12-13",1.57,1.98,1.19,1.23,"8,065","2,203,840","DGPT",-0.21656050955414
"2017-12-12",0.841653,1.68,0.806328,1.57,"6,943","-","DGPT",0.865376823940508
"2017-12-11",1.07,1.34,0.726028,0.846924,"2,592","-","DGPT",-0.208482242990654
"2017-12-10",0.958111,1.12,0.871173,1.07,"1,352","-","DGPT",0.116780832283525
"2017-12-09",1.07,1.19,0.952257,0.955024,"4,774","-","DGPT",-0.107454205607477
"2017-12-08",1.39,1.44,1.08,1.15,"1,344","-","DGPT",-0.172661870503597
"2017-12-07",1.67,2.69,1.37,1.4,"6,401","-","DGPT",-0.161676646706587
"2017-12-06",0.863862,1.76,0.863862,1.76,"3,362","-","DGPT",1.03736244909488
"2017-12-05",1.17,1.28,0.800617,0.865532,"2,582","-","DGPT",-0.26022905982906
"2017-12-04",1.16,1.4,0.853567,1.17,"4,172","-","DGPT",0.00862068965517242
"2017-12-03",1.47,1.81,0.859285,1.16,"4,061","-","DGPT",-0.210884353741497
"2017-12-02",1.13,1.47,0.676678,1.47,"11,416","-","DGPT",0.300884955752212
"2017-12-01",1.28,1.36,0.956757,1.13,"2,516","-","DGPT",-0.1171875
"2017-11-30",1.26,1.36,1.16,1.28,"7,554","-","DGPT",0.0158730158730159
"2017-11-29",1.23,1.4,0.777224,1.24,"3,687","-","DGPT",0.00813008130081302
"2017-11-28",1.24,1.37,0.935113,1.23,"3,131","-","DGPT",-0.00806451612903226
"2017-11-27",0.953598,1.38,0.938472,1.24,"493","-","DGPT",0.300338297689383
"2017-11-26",1.21,1.41,0.935278,0.953711,"6,153","-","DGPT",-0.211809090909091
"2017-11-25",1.21,2.44,0.945149,1.21,"6,838","-","DGPT",0
"2017-11-24",1.48,1.49,1.06,1.21,"11,876","-","DGPT",-0.182432432432432
"2017-11-23",1.44,1.9,1.21,1.48,"17,068","-","DGPT",0.0277777777777778
"2017-11-22",0.905517,2.01,0.904785,1.44,"25,425","-","DGPT",0.590251756731237
"2017-11-21",1.07,1.17,0.898553,0.904361,"2,419","-","DGPT",-0.154802803738318
"2017-11-20",1.06,1.11,1.06,1.07,"4,092","-","DGPT",0.00943396226415095
